آبادا	تولید نیروی برق آبادان
ولبهمن	شرکت بهمن لیزینگ
ولتجار	واسپاری تجار ایرانیان
ولشرق	لیزینگ ایران و شرق
ومپنا	مدیریت نیروگاهی ایرانیان مپنا
ومعلم	بیمه معلم
وملل	اعتباری ملل
وهور	گروه س.انرژی امید تابان هور
کارام	صنایع سرام آرا
استقلال	فرهنگی ورزشی استقلال ایران
پرسپولیس	فرهنگی ورزشی پرسپولیس
بمیلا	توسعه سرمایه گذاری میلاد پارس
بپردیس	بیمه پردیس 50% تادیه
وحکمت	بیمه حکمت صبا
حاریا	کشتیرانی آریا
وپسا	گروه س. پتروشیمی س.خلیج فارس
غشوکو	شوکو پارس
ولراز	لیزینگ رازی
ورازی	بیمه رازی
دی	بانک دی
کصدف	کاشی صدف سرام استقلال آباده
کمینا	شیشه سازی مینا
کباده	تولید خاک نسوزاستقلال آباده
سفاسی	شرکت فارسیت اهواز
لکما	کارخانجات مخابراتی ایران
لازما	کارخانه های صنعتی آزمایش
کقزوی	شیشه  قزوین
قجام	فرآوردههای غذایی وقندتربت جام
لپیام	گسترش صنایع پیام
قنقش	قند نقش جهان
سمایه	بانک سرمایه
خصدرا	صنعتی  دریایی  ایران
کهرام	تولیدی گرانیت بهسرام
وسالت	بانک قرض الحسنه رسالت
گنگین	گروه اقتصادی مالی نگین
اتکاسا	بیمه اتکایی سامان
قیستو	شرکت قند بیستون
شلیا	شرکت مواد ویژه لیا
قشرین	صنعتی و کشاورزی شیرین خراسان
شزنگ	تجهیزنیروی زنگان
وهنر	گروه توسعه هنر ایران
کایتا	ایتالران
لخانه	لوازم  خانگی  پارس
غبهار	کشت وصنعت بهاران گلبهار خراسان
وشهر	بانک شهر
خبازرس	بازرسی مهندسی و صنعتی ایران
ساذری	آذریت
سایرا	ایرانیت
بهامرز	بیمه زندگی هامرز
ولانا	شرکت لیزینگ آریا دانا
تپکو	تولیدتجهیزات سنگین هپکو
کورز	ورزیران
وآیند	بانک آینده
وسرمد	بیمه سرمد
باران	بیمه زندگی باران
نبروج	نساجی بروجرد
ولیز	لیزینگ ایران
بزندگی	بیمه زندگی آگاه
تمحرکه	ماشین سازی نیرو محرکه
بکهنوج	تولید برق ماهتاب کهنوج
وحافظ	بیمه حافظ
قتربت	قند تربت حیدریه
تاتمس	کارخانجات صنعتی وتولیدی اتمسفر
نشار	کارخانجات پشمبافی افشار یزد
سفارود	کارخانه فارسیت درود
تفیرو	مهندسی فیروزا
نتوس	پشم  بافی  توس
وسین	بیمه سینا
خودکفا	اقتصادی و خودکفایی آزادگان
کفرآور	فرآورده های سیمان شرق
آواپارس	بیمه اتکایی آوای پارس
قاروم	قند ارومیه
بتهران	بیمه اتکایی تهران رواک
غمارگ	مارگارین
آرمان	بیمه آرمان
کابگن	تولیدی و صنعتی آبگینه
غناب	روغن  نباتی  ناب
رایا	بیمه اتکایی رایا 50%تادیه
